Country,Total_customers,Champions,Loyal_Customers,Potential_Loyalists,New_Customers,Promising,Need_Attention,About_to_Sleep,At_Risk,Hibernating,Lost
Portugal,6471,56,18,146,1557,82,4,57,281,2102,2168
Spain,3934,4,2,34,973,24,0,11,367,1379,1140
Greece,182,3,1,8,72,2,0,1,4,37,54
Netherlands,2059,2,0,17,698,8,0,2,133,811,388
Angola,152,1,0,4,56,8,0,0,7,43,33
France,9374,1,2,50,2194,36,0,10,852,4275,1954
Germany,7888,1,2,30,2217,26,0,24,413,3392,1783
"South Africa",52,1,0,0,8,0,0,0,2,23,18
Sweden,907,1,0,9,324,6,0,2,73,308,184
,1,0,0,0,0,0,0,0,0,1,0
Albania,11,0,0,0,2,0,0,0,0,7,2
Algeria,63,0,0,0,7,1,1,2,6,30,16
"American Samoa",3,0,0,0,1,0,0,0,0,0,2
Andorra,3,0,0,0,2,0,0,0,0,0,1
Anguilla,2,0,0,0,0,0,0,0,1,0,1
Antarctica,2,0,0,0,0,0,0,0,0,2,0
"Antigua and Barbuda",1,0,0,0,0,0,0,0,0,0,1
Argentina,150,0,0,1,29,1,0,0,9,84,26
Armenia,8,0,0,0,4,0,0,0,0,3,1
Aruba,3,0,0,0,1,0,0,0,1,1,0
Australia,523,0,0,19,206,3,0,0,25,157,113
Austria,1093,0,0,10,342,4,0,2,86,475,174
Azerbaijan,30,0,0,0,25,0,0,0,0,2,3
Bahrain,5,0,0,0,3,0,0,0,1,0,1
Bangladesh,6,0,0,0,0,0,0,0,0,3,3
Barbados,5,0,0,0,1,0,0,0,0,4,0
Belarus,18,0,0,0,10,0,0,0,0,5,3
Belgium,2328,0,0,22,706,12,0,2,186,937,463
Benin,2,0,0,0,0,0,0,0,0,0,2
Bolivia,10,0,0,0,0,0,0,0,1,8,1
"Bosnia and Herzegovina",13,0,0,0,2,0,0,0,2,7,2
Botswana,2,0,0,0,0,0,0,0,0,0,2
Brazil,2021,0,0,18,573,25,0,4,82,650,669
Bulgaria,112,0,0,0,52,0,0,0,6,38,16
